question_id,subject_name,unit_number,topic_name,question_text,difficulty_level,requires_diagram,marks
1,Operating System,1,Operating System,What is operating system?,Easy,Yes,1
2,Operating System,1,Kernel,Explain kernel with example.,Medium,No,3
3,Operating System,1,System Calls,What is system calls?,Easy,No,1
4,Operating System,1,OS Structure,Explain os structure with example.,Medium,No,3
5,Operating System,1,Types of OS,What is types of os?,Easy,No,1
6,Operating System,1,Operating System,Explain operating system with example.,Medium,No,3
7,Operating System,1,Kernel,What is kernel?,Easy,No,1
8,Operating System,1,System Calls,Explain system calls with example.,Medium,No,3
9,Operating System,1,OS Structure,What is os structure?,Easy,No,1
10,Operating System,1,Types of OS,Explain types of os with example.,Medium,No,3
11,Operating System,1,Operating System,What is operating system?,Easy,Yes,1
12,Operating System,1,Kernel,Explain kernel with example.,Medium,No,3
13,Operating System,1,System Calls,What is system calls?,Easy,No,1
14,Operating System,1,OS Structure,Explain os structure with example.,Medium,No,3
15,Operating System,1,Types of OS,What is types of os?,Easy,No,1
16,Operating System,1,Operating System,Explain operating system with example.,Medium,No,3
17,Operating System,1,Kernel,What is kernel?,Easy,No,1
18,Operating System,1,System Calls,Explain system calls with example.,Medium,No,3
19,Operating System,1,OS Structure,What is os structure?,Easy,No,1
20,Operating System,1,Types of OS,Explain types of os with example.,Medium,No,3
21,Operating System,1,Operating System,What is operating system?,Easy,Yes,1
22,Operating System,1,Kernel,Explain kernel with example.,Medium,No,3
23,Operating System,1,System Calls,What is system calls?,Easy,No,1
24,Operating System,1,OS Structure,Explain os structure with example.,Medium,No,3
25,Operating System,1,Types of OS,What is types of os?,Easy,No,1
26,Operating System,1,Operating System,Explain operating system with example.,Medium,No,3
27,Operating System,1,Kernel,What is kernel?,Easy,No,1
28,Operating System,1,System Calls,Explain system calls with example.,Medium,No,3
29,Operating System,1,OS Structure,What is os structure?,Easy,No,1
30,Operating System,1,Types of OS,Explain types of os with example.,Medium,No,3
31,Operating System,1,Operating System,What is operating system?,Easy,Yes,1
32,Operating System,1,Kernel,Explain kernel with example.,Medium,No,3
33,Operating System,1,System Calls,What is system calls?,Easy,No,1
34,Operating System,1,OS Structure,Explain os structure with example.,Medium,No,3
35,Operating System,1,Types of OS,What is types of os?,Easy,No,1
36,Operating System,1,Operating System,Explain operating system with example.,Medium,No,3
37,Operating System,1,Kernel,What is kernel?,Easy,No,1
38,Operating System,1,System Calls,Explain system calls with example.,Medium,No,3
39,Operating System,1,OS Structure,What is os structure?,Easy,No,1
40,Operating System,1,Types of OS,Explain types of os with example.,Medium,No,3
41,Operating System,1,Operating System,What is operating system?,Easy,Yes,1
42,Operating System,1,Kernel,Explain kernel with example.,Medium,No,3
43,Operating System,1,System Calls,What is system calls?,Easy,No,1
44,Operating System,1,OS Structure,Explain os structure with example.,Medium,No,3
45,Operating System,1,Types of OS,What is types of os?,Easy,No,1
46,Operating System,1,Operating System,Explain operating system with example.,Medium,No,3
47,Operating System,1,Kernel,What is kernel?,Easy,No,1
